2017.09.05 (248) 00:15:00.000
Station name: Grahamstown
URSI code: GR13L
Ionosonde model: DPS-4D
  Freq  Range Pol MPA Amp Doppler    Az    Zn  PGH
 2.100  305.0  90  36  45  -0.781   0.0   0.0  307
 2.100  602.5  90  36  51   0.781   0.0   0.0  609
 2.100  605.0  90  36  54   0.781   0.0   0.0  610
 2.100  607.5  90  36  51   0.781   0.0   0.0  612
 2.100  617.5  90  36  45  -0.781   0.0   0.0  624
 2.100  625.0  90  36  42   0.781   0.0   0.0  629
 2.100  667.5  90  36  42   0.781   0.0   0.0  673
 2.100  695.0  90  36  42  -0.781   0.0   0.0  705
 2.100  697.5  90  36  42   0.781   0.0   0.0  701
 2.100  700.0  90  36  42   0.781   0.0   0.0  705
 2.100  710.0  90  36  42  -0.781   0.0   0.0  722
 2.100  755.0  90  36  42   3.906   0.0   0.0  741
 2.100  865.0  90  36  42  -0.781   0.0   0.0  874
 2.100  910.0  90  36  45   0.781   0.0   0.0  914
 2.100 1280.0  90  36  42  -2.344   0.0   0.0 1277
 2.100  290.0 -90  36  51  -0.781   0.0   0.0  298
 2.100  292.5 -90  36  60   0.781   0.0   0.0  298
 2.100  295.0 -90  36  54  -0.781   0.0   0.0  298
 2.100  590.0 -90  36  48   0.781   0.0   0.0  596
 2.100  690.0 -90  36  45  -0.781   0.0   0.0  699
 2.100  755.0 -90  36  42  -3.906   0.0   0.0  750
 2.100  777.5 -90  36  42   0.781   0.0   0.0  790
 2.100  932.5 -90  36  42   3.906   0.0   0.0  932
 2.100 1162.5 -90  36  42   5.469   0.0   0.0 1151
 2.100 1240.0 -90  36  45  -0.781   0.0   0.0 1233
 2.125  120.0  90  36  42  -2.344   0.0   0.0  107
 2.125  300.0  90  36  60   0.781   0.0   0.0  307
 2.125  302.5  90  36  60   0.781   0.0   0.0  307
 2.125  305.0  90  36  48   0.781   0.0   0.0  307
 2.125  332.5  90  36  42   5.469   0.0   0.0  319
 2.125  352.5  90  36  42  -5.469   0.0   0.0  358
 2.125  602.5  90  36  42   0.781   0.0   0.0  610
 2.125  605.0  90  36  51   0.781   0.0   0.0  612
 2.125  607.5  90  36  57   0.781   0.0   0.0  613
 2.125  610.0  90  36  54   0.781   0.0   0.0  615
 2.125  615.0  90  36  51   0.781   0.0   0.0  620
 2.125  617.5  90  36  45   0.781   0.0   0.0  620
 2.125  620.0  90  36  45   0.781   0.0   0.0  627
 2.125 1077.5  90  36  42   5.469   0.0   0.0 1085
 2.125 1280.0  90  36  42   0.781   0.0   0.0 1290
 2.125  292.5 -90  36  60   0.781   0.0   0.0  298
 2.125  295.0 -90  36  57  -0.781   0.0   0.0  298
 2.125  592.5 -90  36  54   0.781   0.0   0.0  598
 2.125  595.0 -90  36  48   0.781   0.0   0.0  598
 2.125  600.0 -90  36  42   0.781   0.0   0.0  605
 2.150  140.0  90  39  45  -2.344   0.0   0.0  136
 2.150  202.5  90  39  45  -3.906   0.0   0.0  189
 2.150  207.5  90  39  45   3.906   0.0   0.0  197
 2.150  300.0  90  39  57   0.781   0.0   0.0  308
 2.150  302.5  90  39  63   0.781   0.0   0.0  308
 2.150  305.0  90  39  60   0.781   0.0   0.0  308
 2.150  612.5  90  39  51   0.781   0.0   0.0  619
 2.150  617.5  90  39  45   0.781   0.0   0.0  624
 2.150  862.5  90  39  45   3.906   0.0   0.0  873
 2.150 1167.5  90  39  45   3.906   0.0   0.0 1167
 2.150  292.5 -90  42  60   0.781   0.0   0.0  299
 2.150  295.0 -90  42  63  -0.781   0.0   0.0  300
 2.150  297.5 -90  42  51   0.781   0.0   0.0  301
 2.150  367.5 -90  42  48  -5.469   0.0   0.0  355
 2.150  482.5 -90  42  48  -2.344   0.0   0.0  473
 2.150  592.5 -90  42  51  -0.781   0.0   0.0  601
 2.150  595.0 -90  42  54   0.781   0.0   0.0  600
 2.175  300.0  90  45  54  -0.781   0.0   0.0  311
 2.175  302.5  90  45  63   0.781   0.0   0.0  310
 2.175  305.0  90  45  63   0.781   0.0   0.0  310
 2.175  307.5  90  45  57  -0.781   0.0   0.0  310
 2.175  595.0 -90  45  51   0.781   0.0   0.0  601
 2.175  597.5 -90  45  51  -0.781   0.0   0.0  604
 2.200  305.0  90  36  60   0.781   0.0   0.0  311
 2.200  307.5  90  36  60   0.781   0.0   0.0  310
 2.200  310.0  90  36  45   0.781   0.0   0.0  308
 2.200  392.5  90  36  42  -2.344   0.0   0.0  381
 2.200  435.0  90  36  42  -0.781   0.0   0.0  447
 2.200  517.5  90  36  42  -5.469   0.0   0.0  522
 2.200  545.0  90  36  42  -0.781   0.0   0.0  551
 2.200  612.5  90  36  51   0.781   0.0   0.0  619
 2.200  615.0  90  36  57   0.781   0.0   0.0  620
 2.200  617.5  90  36  57   0.781   0.0   0.0  621
 2.200  930.0  90  36  48   0.781   0.0   0.0  934
 2.200  932.5  90  36  42   0.781   0.0   0.0  932
 2.200  937.5  90  36  42   0.781   0.0   0.0  941
 2.200  967.5  90  36  42  -3.906   0.0   0.0  982
